Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2
Aladji Bamba,France,19.0,Ligue 1,450,0.0,0.0,0.0,2.6,3.0,5.0,10000000.0,0.48750383285189713,20512659.236954108,1,3.9368253444648103,-0.8606056388452586
Ezechiel Banzuzi,Netherlands,21.0,Bundesliga,537,2.01,0.0,0.16759776536312848,2.17877094972067,1.675977653631285,5.966666666666667,18000000.0,0.6115559887579585,29433118.685595993,1,0.8825898207980942,-0.003495396071255078
Christoph Baumgartner,Austria,26.0,Bundesliga,2065,2.57,0.43583535108958843,0.26150121065375304,2.0484261501210654,1.1767554479418887,22.944444444444443,30000000.0,1.2647123987269306,23720808.01152755,2,-1.4559417717965621,-0.23551215155620175
Yassin Belkhdim,France,24.0,Ligue 1,1957,1.29,0.09197751660705161,0.09197751660705161,1.195707715891671,1.7935615738375064,21.744444444444444,7000000.0,0.14543154541159975,48132610.98332297,1,0.6883154268303731,-0.16685065750241676
Lucas Bergvall,Sweden,20.0,Premier League,805,1.12,0.11180124223602485,0.2236024844720497,2.012422360248447,1.341614906832298,8.944444444444445,40000000.0,0.4399415708382873,90921164.65325598,0,0.6023467241691254,0.6657277033957045
Medon Berisha,Albania,22.0,Serie A,871,2.48,0.2066590126291619,0.30998851894374285,1.1366245694603905,1.2399540757749714,9.677777777777777,6000000.0,0.7236131436882172,8291723.350156859,0,-1.3444957077363047,0.8544606761745244
Marc Bernal,Spain,18.0,La Liga,449,1.0,0.40089086859688194,0.20044543429844097,2.0044543429844097,1.8040089086859687,4.988888888888889,30000000.0,0.947359106987026,31666978.000994556,0,0.2930362575252564,-0.12360303324809958
Antoine Bernede,France,26.0,Serie A,1801,0.8,0.04997223764575236,0.09994447529150471,2.2987229317046083,1.549139367018323,20.011111111111113,3500000.0,0.25067806156374517,13962131.261773705,1,1.5864669720368487,-0.11145276098576921
Antonio Blanco,Spain,25.0,La Liga,2226,1.17,0.04043126684636118,0.04043126684636118,2.0619946091644206,1.6981132075471697,24.733333333333334,10000000.0,0.21473957221762677,46568035.396221936,1,1.4763350999199911,-0.6297295144051682
Wouter Burger,Netherlands,25.0,Bundesliga,1832,1.33,0.19650655021834063,0.24563318777292578,2.210698689956332,1.6211790393013101,20.355555555555554,20000000.0,0.8225223313112544,24315449.24514847,0,0.5628383973649351,0.44723985866454136
Calebe,Brazil,25.0,La Liga,717,0.63,0.0,0.0,2.2594142259414225,1.7573221757322175,7.966666666666667,2000000.0,0.04512040393946637,44325844.30501119,1,2.190052029541273,-0.7019136739743594
Lamine Camara,Senegal,22.0,Ligue 1,1295,0.97,0.0,0.277992277992278,1.3204633204633205,1.806949806949807,14.38888888888889,35000000.0,0.286360801735265,122223432.0755842,0,0.904561142935888,1.4286980106890579
Eduardo Camavinga,France,23.0,La Liga,1142,0.79,0.0788091068301226,0.0,2.12784588441331,2.285464098073555,12.688888888888888,50000000.0,0.3577325679164876,139769214.44757152,1,2.2562048610524403,-1.0070371450337512
Maxence Caqueret,France,26.0,Serie A,1180,1.22,0.15254237288135594,0.3050847457627119,1.4491525423728815,1.4491525423728815,13.11111111111111,15000000.0,0.5061322829453283,29636520.93620805,0,0.0072323101602014645,1.2763396490922405
Johnny Cardoso,United States,24.0,La Liga,708,0.25,0.0,0.0,2.0338983050847457,2.1610169491525424,7.866666666666666,22000000.0,0.030600274840739638,718947790.9757309,1,2.6535140644595745,-0.5814150759471849
Cesare Casadei,Italy,23.0,Serie A,1614,1.62,0.22304832713754646,0.0,2.453531598513011,0.6691449814126395,17.933333333333334,14000000.0,0.2418989574312321,57875404.460889295,1,0.04694641119186742,-1.3191000681336722
Ilyas Chaira,Morocco,25.0,La Liga,1665,2.7,0.16216216216216217,0.05405405405405406,2.0,1.4054054054054055,18.5,4000000.0,0.6598609292680429,6061883.3796343105,1,-0.17549028461570348,-1.2831624127186485
