Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Ilyas Chaira,Morocco,25.0,La Liga,1665,2.7,0.1621621621621621,0.054054054054054,2.0,1.4054054054054057,18.5,4000000.0,0.6598609292680429,6061883.379634311,1,-0.1754902846157034,-1.2831624127186485,https://img.a.transfermarkt.technology/portrait/header/593412-1712568424.jpg?lm=1
Djaoui Cissé,France,22.0,Ligue 1,926,2.24,0.0,0.0,1.652267818574514,1.8466522678185744,10.28888888888889,15000000.0,0.2883530216856944,52019569.319270186,1,0.8687146942599738,-1.17563253355994,https://img.a.transfermarkt.technology/portrait/header/931160-1740392570.jpg?lm=1
Mamadou Coulibaly,France,21.0,Ligue 1,1100,0.57,0.2454545454545454,0.2454545454545454,2.1272727272727274,1.390909090909091,12.22222222222222,15000000.0,0.5758039646284118,26050532.68377558,0,0.636422804784523,0.7337262672001205,https://commons.wikimedia.org/wiki/Special:FilePath/Mamadou_Coulibaly.jpg
Yan Couto,Brazil,23.0,Bundesliga,987,0.73,0.0911854103343465,0.182370820668693,1.2765957446808511,1.3677811550151977,10.966666666666669,20000000.0,0.0071305325887737,2804839575.5862365,0,0.5393479701898521,0.7830957345610471,https://img.a.transfermarkt.technology/portrait/header/627228-1723922216.jpg?lm=1
Adam Daghim,Denmark,20.0,Bundesliga,1060,1.53,0.1698113207547169,0.1698113207547169,1.1886792452830188,1.4433962264150944,11.77777777777778,7500000.0,0.2997724892366172,25018973.61929059,0,-0.1585780563213706,0.2324647395344765,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/FC_Salzburg_vs._Atletico_Madrid_%282025-01-29_UEFA_Championsleague%29_43.jpg/500px-FC_Salzburg_vs._Atletico_Madrid_%282025-01-29_UEFA_Championsleague%29_43.jpg
Mikkel Damsgaard,Denmark,25.0,Premier League,1575,1.14,0.1714285714285714,0.2285714285714285,0.8571428571428571,1.4285714285714286,17.5,30000000.0,0.1797846988655633,166866258.30395582,0,-0.2517768683022898,0.9093251674697536,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Mikkel_Damsgaard_29112025_%282%29_%28cropped%29.jpg/500px-Mikkel_Damsgaard_29112025_%282%29_%28cropped%29.jpg
Pape Demba Diop,Senegal,22.0,Ligue 1,778,2.43,0.1156812339331619,0.2313624678663239,1.2724935732647815,1.6195372750642674,8.644444444444444,8000000.0,0.6536627241897912,12238727.563845595,0,-0.4685173961928521,0.3532021965896975,https://img.a.transfermarkt.technology/portrait/header/949113-1758195720.jpg?lm=1
Nelson Deossa,Colombia,26.0,La Liga,602,2.39,0.0,0.0,2.242524916943521,1.0465116279069766,6.688888888888889,9000000.0,0.210806434376484,42693194.00339884,1,0.4218995236549566,-1.2194707379475052,https://img.a.transfermarkt.technology/portrait/header/907559-1693600752.JPG?lm=1
Tyrhys Dolan,England,24.0,La Liga,1824,1.43,0.0493421052631578,0.1973684210526315,1.430921052631579,1.430921052631579,20.266666666666666,10000000.0,0.2303683064284761,43408749.037727386,0,0.3482773155721464,0.6319446542668373,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tyrhys_Dolan_October_2017_%28cropped%29.jpg/500px-Tyrhys_Dolan_October_2017_%28cropped%29.jpg
Patrick Dorgu,Denmark,21.0,Premier League,1335,1.35,0.2022471910112359,0.2022471910112359,1.2808988764044944,2.02247191011236,14.833333333333334,35000000.0,0.6097252945515079,57402899.8185892,0,0.3863005812505083,0.3032616852368106,https://commons.wikimedia.org/wiki/Special:FilePath/Patrick_Dorgu_Como-Lecce_30_Dec_2024.jpg
Kamory Doumbia,Mali,23.0,Ligue 1,1515,2.26,0.297029702970297,0.1782178217821782,1.5445544554455446,1.6633663366336635,16.833333333333332,9000000.0,0.881498362688807,10209888.504554428,2,-0.578495106568152,-0.4053456786267416,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Doumbia_asse_sb_2425.png/500px-Doumbia_asse_sb_2425.png
Ansu Fati,Spain,23.0,Ligue 1,671,3.62,1.073025335320417,0.0,0.9388971684053652,0.9388971684053652,7.455555555555556,15000000.0,1.5158926142324585,9895160.025959324,2,-4.417320210518374,-3.361619907494017,https://upload.wikimedia.org/wikipedia/commons/e/ef/%D0%9C%D0%B0%D1%82%D1%87_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB_-_%C2%AB%D0%91%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D0%BE%D0%BD%D0%B0%C2%BB_0-1._2_%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%B0%D0%B4%D0%B0_2021_%D1%80%D0%BE%D0%BA%D1%83_%E2%80%94_1289339_%28cropped%29.jpg
Mattia Felici,Italy,24.0,Serie A,411,1.97,0.437956204379562,0.218978102189781,2.18978102189781,1.3138686131386863,4.566666666666666,2800000.0,1.1464407448205955,2442341.6671553897,2,-0.7895740522596932,-0.3833410170880237,https://upload.wikimedia.org/wikipedia/commons/2/2b/Cagliari2425_%28Mattia_Felici%29.png
Mateus Fernandes,Portugal,21.0,Premier League,2302,0.82,0.1172893136403127,0.1172893136403127,1.5247610773240658,2.0330147697654213,25.57777777777778,35000000.0,0.3058694559226115,114427901.58444393,1,1.2918597875290982,-0.0076954170717983,https://commons.wikimedia.org/wiki/Special:FilePath/Mateus_Fernandes_(Ag%C3%AAncia_Lusa)_cropped.png
Alejandro Garnacho,Argentina,21.0,Premier League,1077,2.34,0.0835654596100278,0.3342618384401114,0.6685236768802229,0.9192200557103064,11.966666666666669,40000000.0,0.2743147591652746,145817892.26987964,0,-1.5328651964294362,1.543679622537455,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg/500px-Alejandro_Garnacho_7_August_2022_%28cropped%29.jpg
